Title,URL,Companies,Topic,Difficulty,Problem,Solution
Gas Station,https://www.interviewbit.com/problems/gas-station/,"Google, Amazon, Flipkart, Microsoft",Greedy Algorithm,Medium,"Given two integer arrays A and B of size N. There are N gas stations along a circular route, where the amount of gas at station i is A[i].

You have a car with an unlimited gas tank and it costs B[i] of gas to travel from station i to its next station (i+1). You begin the journey with an empty tank at one of the gas stations.

Return the minimum starting gas station's index if you can travel around the circuit once, otherwise return -1.

You can only travel in one direction. i to i+1, i+2, ... n-1, 0, 1, 2.. Completing the circuit means starting at i and ending up at i again.

Problem Constraints
1 <= |A| <= 5 * 10^5
|A| == |B|
0 <= Ai <= 5 * 10^3
0 <= Bi <= 5 * 10^3

Input Format
The first argument given is the integer array A. The second argument given is the integer array B.

Output Format
Return the minimum starting gas station's index if you can travel around the circuit once, otherwise return -1.

Example Input
A = [1, 2]
B = [2, 1]

Example Output
1

Example Explanation
If you start from index 0, you can fill in A[0] = 1 amount of gas.
Now your tank has 1 unit of gas. But you need B[0] = 2 gas to travel to station 1.

If you start from index 1, you can fill in A[1] = 2 amount of gas.
Now your tank has 2 units of gas. You need B[1] = 1 gas to get to station 0.
So, you travel to station 0 and still have 1 unit of gas left over.
You fill in A[0] = 1 unit of additional gas, making your current gas = 2. It costs you B[0] = 2 to get to station 1, which you do and complete the circuit.","int Solution::canCompleteCircuit(const vector<int> &A, const vector<int> &B) {
    long sumGas = 0;
    long sumCost = 0;
    int start = 0;
    int tank = 0;
    assert(A.size() >= 1 && A.size() <= 5e5);
    assert(A.size() == B.size());
    for (int i = 0; i < A.size(); i++) {
        assert(A[i] >= 0 && A[i] <= 5e3);
        assert(B[i] >= 0 && B[i] <= 5e3);
        sumGas += A[i];
        sumCost += B[i];
        tank += A[i] - B[i];
        if (tank < 0) {
            start = i + 1;
            tank = 0;
        }
    }
    if (sumGas < sumCost) {
        return -1;
    } else {
        return start;
    }
}"
Majority Element,https://www.interviewbit.com/problems/majority-element/,"Microsoft, Google, Amazon, Yahoo",Greedy Algorithm,Easy,"Given an array of size N, find the majority element. The majority element is the element that appears more than floor(N/2) times.
You may assume that the array is non-empty and the majority element always exist in the array.

Problem Constraints
1 <= |A| <= 10^6
1 <= Ai <= 10^9

Input Format
The first argument is an integer array A.

Output Format
Return the majority element.

Example Input
A = [2, 1, 2]

Example Output
2

Example Explanation
2 occurs 2 times which is greater than 3/2.","int Solution::majorityElement(const vector<int> &A) {
    int majorityIndex = 0;
    for (int count = 1, i = 1; i < A.size(); i++) {

        A[majorityIndex] == A[i] ? count++ : count--;

        if (count == 0) {
            majorityIndex = i;
            count = 1;
        }
    }

    return A[majorityIndex];
}"
Distribute Candy,https://www.interviewbit.com/problems/distribute-candy/,"Microsoft, Flipkart, Amazon",Greedy Algorithm,Medium,"N children are standing in a line. Each child is assigned a rating value.

You are giving candies to these children subjected to the following requirements:

Each child must have at least one candy.
Children with a higher rating get more candies than their neighbors.
What is the minimum number of candies you must give?

Problem Constraints
1 <= N <= 10^5
-10^9 <= A[i] <= 10^9

Input Format
The first and only argument is an integer array A representing the rating of children.

Output Format
Return an integer representing the minimum candies to be given.

Example Input
Input 1:
 A = [1, 2]
Input 2:
 A = [1, 5, 2, 1]

Example Output
Output 1:
 3
Output 2:
 7

Example Explanation
Explanation 1:
 The candidate with 1 rating gets 1 candy and candidate with rating 2 cannot get 1 candy as 1 is its neighbor. 
 So rating 2 candidate gets 2 candies. In total, 2 + 1 = 3 candies need to be given out.

Explanation 2:
 Candies given = [1, 3, 2, 1]
","int Solution::candy(vector<int> &A) {
    int n=A.size();
    assert(n>=1);
    int dp[n];
    for(int i=0;i<n;i++)
        dp[i]=1;
    for(int i=1;i<n;i++)
    {
        if(A[i]>A[i-1])
            dp[i]=dp[i-1]+1;
    }
    for(int i=n-2;i>=0;i--)
    {
        if(A[i]>A[i+1] && dp[i]<=dp[i+1]+1)
        {
            dp[i]=dp[i+1] + 1;
        }
    }
    int ans=0;
    for(int i=0;i<n;i++)
        ans+=dp[i];
    return ans;
}"
Longest Increasing Subsequence,https://www.interviewbit.com/problems/longest-increasing-subsequence/,"Facebook, Microsoft, Amazon, Yahoo",Dynamic Programming,medium,"Find the longest increasing subsequence of a given array of integers, A.

In other words, find a subsequence of array in which the subsequence's elements are in strictly increasing order, and in which the subsequence is as long as possible.

In this case, return the length of the longest increasing subsequence.

Problem Constraints
1 <= length(A) <= 2500
0 <= A[i] <= 2500

Input Format
The first and the only argument is an integer array A.

Output Format
Return an integer representing the length of the longest increasing subsequence.

Example Input
Input 1:

A = [1, 2, 1, 5]
Input 2:

A = [0, 8, 4, 12, 2, 10, 6, 14, 1, 9, 5, 13, 3, 11, 7, 15]
 
Example Output
Output 1:

3
Output 2:

6
 
Example Explanation
Explanation 1:

The longest increasing subsequence: [1, 2, 5]
Explanation 2:

The possible longest increasing subsequences: [0, 2, 6, 9, 13, 15] or [0, 4, 6, 9, 11, 15] or [0, 4, 6, 9, 13, 15]"," int Solution::lis(const vector<int> &A) {
int i, j, max = 0;
int n = A.size();
assert(n >= 1 && n <= 1000);
for(auto &x : A) assert(x >= 0 && x <= 2500);
vector<int> lis(n,1);

/* Compute optimized LIS values in bottom up manner */
for ( i = 1; i < n; i++ )
for ( j = 0; j < i; j++ )
if ( A[i] > A[j] && lis[i] < lis[j] + 1)
lis[i] = lis[j] + 1;

/* Pick maximum of all LIS values */
for ( i = 0; i < n; i++ )
if ( max < lis[i] )
max = lis[i];

return max;
}"
Unique Binary Search Trees,https://www.interviewbit.com/problems/unique-binary-search-trees/,"Amazon, Directi",Dynamic Programming,easy,"Given A, generate all structurally unique BST's (binary search trees) that store values 1...A.


Problem Constraints
1 <= A <= 15


Input Format
The first argument is an integer A.


Output Format
Return an array of TreeNode


Example Input
A = 3


Example Output
1 3 3 2 1
\ / / / \ \
3 2 1 1 3 2
/ / \ \
2 1 2 3",N/A
Max Rectangle in Binary Matrix,https://www.interviewbit.com/problems/max-rectangle-in-binary-matrix/,"Microsoft, Google",Dynamic Programming,medium,"Given a 2D binary matrix filled with 0’s and 1’s, find the largest rectangle containing all ones and return its area.

Bonus if you can solve it in O(n^2) or less.

Example :

A : [ 1 1 1
0 1 1
1 0 0
]

Output : 4

As the max area rectangle is created by the 2x2 rectangle created by (0,1), (0,2), (1,1) and (1,2)","int maxRect(int lenTable[], int len) {
stack<int> ss;
int ret = 0, i = 0;
while (i < len) {
if (ss.empty() || lenTable[i] >= lenTable[ss.top()]) {
ss.push(i++);
} else {
int temp = ss.top();
ss.pop();
ret = std::max(ret, lenTable[temp]*(ss.empty() ? i: (i - ss.top() -1)));
}
}
while (!ss.empty()) {
int temp = ss.top();
ss.pop();
ret = std::max(ret, lenTable[temp]*(ss.empty() ? i: (i - ss.top() -1)));
}
return ret;
}
int Solution::maximalRectangle(vector<vector<int> > &A) {
int rows = A.size(), h, w;
if (rows == 0) return 0;
int cols = A[0].size();
if (cols == 0) return 0;

int lenTable[rows][cols];
for (w = 0; w < rows; ++w) {
for (h = 0; h < cols; ++h) {
lenTable[w][h] = 0;
}
}
for (h = 0; h < cols; ++h) {
if (A[0][h] == 1) {
lenTable[0][h] = 1;
}
}

for (w = 1; w < rows; ++w) {
for (h = 0; h < cols; ++h) {
if (A[w][h] == 0) {
continue;
}
lenTable[w][h] = lenTable[w-1][h] + 1;
}
}

/*for (w = 0; w < rows; ++w) {
for (h = 0; h < cols; ++h) {
std::cout << lenTable[w][h] << "";"";
}
std::cout << endl;
}*/
int ret = 0;
for (w=0;w<rows;++w) {
ret = std::max(ret, maxRect(lenTable[w],cols));
//std::cout << ret << endl;
}
return ret;
}"
Distinct Subsequences,https://www.interviewbit.com/problems/distinct-subsequences/,Google,Dynamic Programming,medium,"Given two sequences A, B, count number of unique ways in sequence A, to form a subsequence that is identical to the sequence B.

Subsequence : A subsequence of a string is a new string which is formed from the original string by deleting some (can be none) of the characters without disturbing the relative positions of the remaining characters. (ie, “ACE” is a subsequence of “ABCDE” while “AEC” is not).

Input Format:

The first argument of input contains a string, A.
The second argument of input contains a string, B.

Output Format:

Return an integer representing the answer as described in the problem statement.

Constraints:

1 <= length(A), length(B) <= 700

Example :

Input 1:
A = ""abc""
B = ""abc""

Output 1:
1

Explanation 1:
Both the strings are equal.

Input 2:
A = ""rabbbit""
B = ""rabbit""

Output 2:
3

Explanation 2:
These are the possible removals of characters:
=> A = ""ra_bbit""
=> A = ""rab_bit""
=> A = ""rabb_it""

Note: ""_"" marks the removed character.","int Solution::numDistinct(string S, string T) {
int sLen = S.length(), tLen = T.length();
if (sLen < tLen) return 0;
if (sLen == tLen) {
if (S.compare(T) == 0) {
return 1;
} else {
return 0;
}
}

int path[tLen+1][sLen+1], i, j;

for (i = 0; i <= sLen; ++i) {
path[0][i] = 0;
}
for (j = 0; j <= tLen; ++j) {
path[j][0] = 0;
}

for (i = 1; i <= tLen; ++i) {
for (j = 1; j <= sLen; ++j) {
if (T.at(i-1) == S.at(j-1)) {
if (i != 1) {
path[i][j] = path[i][j-1] + path[i-1][j-1];
} else {
path[i][j] = path[i][j-1] + 1;
}
} else {
path[i][j] = path[i][j-1];
}
}
}
return path[tLen][sLen];
}"
Unique Paths in a Grid,https://www.interviewbit.com/problems/distinct-subsequences/,Facebook,Dynamic Programming,medium,"Given a grid of size m * n, lets assume you are starting at (1,1) and your goal is to reach (m,n). At any instance, if you are on (x,y), you can either go to (x, y + 1) or (x + 1, y).

Now consider if some obstacles are added to the grids. How many unique paths would there be?
An obstacle and empty space is marked as 1 and 0 respectively in the grid.

Example :
There is one obstacle in the middle of a 3x3 grid as illustrated below.

[
[0,0,0],
[0,1,0],
[0,0,0]
]

The total number of unique paths is 2.

Note: m and n will be at most 100.","int Solution::uniquePathsWithObstacles(vector<vector<int> > &A) {
int m = A.size();
assert(A.size()>=0 && A.size()<=100 && A[0].size()>=0 && A[0].size()<=100);
if (m == 0) {
return 0;
}
int n = A[0].size();
if (n == 0) {
return 0;
}
int steps[m][n];

int noSteps = 1, i,j;
for (i = 0; i < n; ++i) {
if (A[0][i] == 1) {
noSteps = 0;
}
steps[0][i] = noSteps;
}
noSteps = 1;
for (i = 0; i < m; ++i) {
if (A[i][0] == 1) {
noSteps = 0;
}
steps[i][0] = noSteps;
}
for (i = 1; i < m; i++)
{
for (j = 1; j < n; j++) {
if (A[i][j] == 1) {
steps[i][j] = 0;
} else {
steps[i][j] = steps[i-1][j] + steps[i][j-1]; //+ count[i-1][j-1];
}
}
}
/*for (i = 0; i < m; i++)
{
for (j = 0; j < n; j++) {
std::cout << steps[i][j] << "";"";
}
std::cout << std::endl;
}*/
return steps[m-1][n-1];
}"
Max Product Subarray,https://www.interviewbit.com/problems/max-product-subarray/,"Amazon, Linkedin, Microsoft",Dynamic Programming,medium,"Find the contiguous subarray within an array (containing at least one number) which has the largest product.
Return an integer corresponding to the maximum product possible.

Example :

Input : [2, 3, -2, 4]
Return : 6

Possible with [2, 3]","long long solve(const vector<int> &A,int l,int r)
{
long long ans=1,flag=0,cnt=0;
for(int i=l;i<=r;i++)
{
ans*=(1ll*A[i]);
if(A[i]<0)
cnt++;
}
if(cnt%2==0)
return ans;
long long p1=1,p2=1;
for(int i=l;i<=r;i++)
{
if(flag==1)
p1*=(1ll*A[i]);
if(A[i]<0)
flag=1;
}
for(int i=r;i>=l;i--)
{
if(flag==0)
p2*=(1ll*A[i]);
if(A[i]<0)
flag=0;
}
return max(p1,p2);
}
int Solution::maxProduct(const vector<int> &A) {
long long ans=1;
int l=0,n=A.size(),maxm=INT_MIN;

for(int i=0;i<n;i++)
{
maxm=max(maxm,A[i]);
if(A[i]==0)
{
ans=max(ans,solve(A,l,i-1));
l=i+1;
}
}
if(l!=n)
ans=max(ans,solve(A,l,n-1));
if(maxm<=0&&ans==1)
return maxm;
return (int)ans;
}"
Ways to Decode,https://www.interviewbit.com/problems/ways-to-decode/,"Facebook, Amazon",Dynamic Programming,medium,"A message containing letters from A-Z is being encoded to numbers using the following mapping:

 

'A' -> 1
'B' -> 2
...
'Z' -> 26

Given an encoded message A containing digits, determine the total number of ways to decode it modulo 109 + 7.

 


Problem Constraints
1 <= |A| <= 105


Input Format
The first and the only argument is a string A.


Output Format
Return a single integer denoting the total number of ways to decode it modulo 109 + 7.


Example Input
Input 1:

 

A = ""8""

Input 2:

A = ""12""

 


Example Output
Output 1:

 

1

Output 2:

2

 


Example Explanation
Explanation 1:

 

Given encoded message ""8"", it could be decoded as only ""H"" (8).
The number of ways decoding ""8"" is 1.

Explanation 2:

Given encoded message ""12"", it could be decoded as ""AB"" (1, 2) or ""L"" (12).
The number of ways decoding ""12"" is 2.","const int mod = 1000000007;
const int maxn = 100009;
int dp[maxn];
int solve(int index, string & A) {
if (index >= A.size())
return 1;
if (dp[index] != -1)
return dp[index];
if (A[index] == '0')
return dp[index] = 0;
int ans = solve(index + 1, A);
ans %= mod;
if (index + 1 < A.size()) {
int num = ((A[index] - '0') * 10) + (A[index + 1] - '0');
if (num >= 10 && num <= 26)
ans += solve(index + 2, A);
ans %= mod;
}
return dp[index] = ans;
ans %= mod;
}
int Solution::numDecodings(string A) {
memset(dp, -1, sizeof(dp));
return solve(0, A);
}"
